city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,rent,property_tax,fire_insurance,total
1,350,4,5,2,-,acept,furnished,0,15000,667,226,15890
1,240,3,2,1,-,acept,not furnished,0,15000,667,226,15890
1,999,5,7,4,-,not acept,not furnished,100,15000,459,226,15790
1,340,4,6,6,-,acept,furnished,em info,15000,250,226,15480
1,287,3,2,5,-,acept,not furnished,0,15000,0,226,15230
1,530,4,5,6,-,not acept,not furnished,0,15000,0,226,15230
1,447,5,4,6,-,acept,not furnished,0,15000,0,226,15230
1,400,3,4,4,-,acept,furnished,0,15000,0,226,15230
1,296,4,5,3,3,acept,not furnished,0,15000,0,191,15190
1,260,4,5,5,3,acept,furnished,ncluso,15000,0,191,15190
1,400,4,5,3,-,not acept,not furnished,0,15000,0,191,15190
1,235,4,4,4,5,acept,furnished,3330,14900,1417,189,19840
1,565,4,5,6,-,acept,furnished,2337,14850,2112,224,19520
1,320,5,4,4,-,acept,furnished,0,14650,960,221,15830
1,700,5,7,5,-,acept,not furnished,0,14500,6799,218,21520
1,250,4,6,4,12,not acept,not furnished,3000,14500,875,184,18560
1,217,3,4,4,17,acept,furnished,2400,14500,910,184,17990
1,264,4,4,4,9,acept,not furnished,3200,14450,1792,184,19630
1,233,4,3,4,-,acept,not furnished,1805,14300,952,215,17270
1,800,5,4,8,-,acept,not furnished,0,14200,2250,214,16660
1,311,4,5,6,4,acept,furnished,5083,14000,3461,178,22720
1,423,4,5,7,28,acept,not furnished,5785,14000,2647,178,22610
1,500,5,7,5,22,acept,not furnished,5500,14000,2084,178,21760
1,245,3,4,3,5,acept,not furnished,4942,14000,2014,178,21130
1,214,3,2,5,4,acept,not furnished,4226,14000,2469,178,20870
1,310,4,4,4,21,acept,not furnished,4700,14000,1751,178,20630
1,382,3,4,2,11,acept,not furnished,4529,14000,1410,178,20120
1,420,4,6,4,1,not acept,not furnished,4200,14000,1417,178,19800
1,250,3,4,3,4,acept,not furnished,3570,14000,1256,178,19000
1,269,4,4,5,21,acept,furnished,2980,14000,1834,178,18990
1,228,3,4,3,6,acept,furnished,3500,14000,1000,178,18680
1,248,3,4,4,2,acept,not furnished,3163,14000,966,178,18310
1,234,3,5,3,17,not acept,furnished,2750,14000,1334,178,18260
1,245,3,4,3,10,acept,not furnished,2900,14000,917,178,18000
1,133,3,3,2,19,acept,furnished,2900,14000,898,178,17980
1,210,2,3,4,11,acept,furnished,2338,14000,1434,178,17950
1,137,2,3,2,1,acept,not furnished,2800,14000,542,178,17520
1,300,3,4,2,9,acept,furnished,2000,14000,1084,178,17260
1,187,3,4,3,14,acept,not furnished,1700,14000,1209,178,17090
1,185,3,2,2,29,acept,not furnished,2050,14000,540,178,16770
1,480,4,7,8,-,acept,not furnished,0,14000,2186,211,16400
1,260,4,4,4,-,acept,not furnished,0,14000,1834,211,16050
1,400,7,7,0,-,acept,not furnished,0,14000,1667,211,15880
1,550,4,4,4,-,acept,not furnished,0,14000,1334,211,15550
1,370,5,4,3,-,acept,not furnished,0,14000,1290,211,15500
1,300,4,5,4,-,acept,furnished,em info,14000,1167,211,15380
1,700,6,8,8,-,acept,furnished,0,14000,1020,211,15230
1,320,5,3,8,-,acept,not furnished,0,14000,917,211,15130
1,200,3,3,5,-,acept,not furnished,0,14000,834,211,15050
1,340,4,4,3,2,acept,not furnished,0,14000,834,178,15010
1,500,7,4,3,-,acept,furnished,0,14000,785,211,15000
0,999,5,7,8,-,acept,not furnished,0,14000,667,211,14880
1,400,5,4,5,-,not acept,not furnished,0,13970,417,210,14590
1,106,1,1,2,10,acept,furnished,1749,13950,479,177,16360
1,400,5,3,6,-,acept,not furnished,0,13950,1880,210,16040
1,365,4,5,6,4,acept,not furnished,3722,13900,2588,177,20390
1,300,3,5,2,12,not acept,furnished,2100,13900,809,177,16990
1,212,4,3,2,17,acept,not furnished,2835,13800,694,175,17500
1,135,3,3,2,7,not acept,not furnished,1500,13800,375,175,15850
1,156,2,3,2,8,acept,furnished,2040,13590,292,173,16090
1,240,4,5,4,15,acept,furnished,3700,13500,1000,172,18370
1,230,4,4,4,1,acept,furnished,2300,13500,1084,172,17060
1,174,3,4,3,6,acept,not furnished,2200,13500,814,172,16690
1,190,3,3,2,11,acept,furnished,1900,13500,620,172,16190
1,113,2,3,2,10,acept,not furnished,1400,13500,375,172,15450
1,150,3,3,2,8,not acept,furnished,ncluso,13500,0,172,13670
1,210,4,4,4,5,acept,not furnished,3000,13100,1325,166,17590
1,155,3,4,2,14,acept,not furnished,1400,13100,409,166,15080
1,190,2,3,2,-,acept,not furnished,0,13050,1284,197,14530
1,500,4,2,8,-,acept,not furnished,em info,13050,1042,197,14290
1,250,4,2,8,-,acept,not furnished,0,13040,500,197,13740
1,272,4,4,4,2,acept,not furnished,5600,13000,2250,165,21020
1,685,4,3,5,11,acept,not furnished,3960,13000,3120,165,20250
1,277,2,3,4,19,acept,not furnished,5295,13000,1550,165,20010
1,210,3,4,3,6,acept,not furnished,3900,13000,1417,165,18480
1,420,4,4,2,4,acept,not furnished,3300,13000,1417,165,17880
1,270,3,2,4,21,acept,not furnished,3200,13000,1250,165,17620
1,240,4,4,4,26,acept,not furnished,3250,13000,1121,165,17540
1,280,3,3,8,-,acept,not furnished,0,13000,4234,196,17430
1,270,3,3,3,16,acept,not furnished,2800,13000,959,165,16920
1,216,3,3,3,16,acept,not furnished,2328,13000,1230,165,16720
1,193,2,4,4,7,acept,not furnished,1948,13000,1323,165,16440
1,200,4,3,3,18,acept,not furnished,3000,13000,100,165,16270
1,190,3,3,3,6,acept,not furnished,3000,13000,84,165,16250
1,200,2,3,1,2,not acept,furnished,2300,13000,625,165,16090
1,91,1,2,2,11,acept,furnished,2076,13000,334,165,15580
1,500,4,6,4,-,acept,not furnished,0,13000,2200,196,15400
1,333,3,4,4,27,acept,furnished,1700,13000,500,165,15370
1,150,3,3,1,9,acept,not furnished,1700,13000,305,165,15170
1,126,3,4,3,99,acept,not furnished,1570,13000,429,165,15160
0,650,4,6,4,-,acept,not furnished,760,13000,1042,196,15000
1,129,2,2,1,6,acept,furnished,1507,13000,308,165,14980
1,94,1,2,2,2,not acept,furnished,1356,13000,384,165,14910
1,350,4,4,4,-,acept,not furnished,0,13000,1417,196,14610
0,341,4,6,4,-,acept,not furnished,660,13000,608,196,14460
1,340,4,3,8,-,acept,not furnished,0,13000,1167,196,14360
1,330,6,4,3,-,acept,not furnished,0,13000,1156,196,14350
1,450,4,2,3,-,acept,not furnished,0,13000,1000,196,14200
1,250,4,3,3,-,not acept,not furnished,em info,13000,950,196,14150
1,387,4,5,6,-,acept,not furnished,ncluso,13000,834,196,14030
1,325,4,5,7,-,acept,furnished,0,13000,825,196,14020
1,180,3,3,0,-,acept,not furnished,0,13000,715,196,13910
1,275,3,5,6,-,acept,furnished,0,13000,500,196,13700
0,430,4,5,5,-,acept,not furnished,ncluso,13000,474,196,13670
1,500,5,4,6,-,acept,not furnished,0,13000,250,196,13450
1,220,2,4,3,26,not acept,not furnished,2000,12960,834,165,15960
1,100,2,3,2,9,acept,not furnished,ncluso,12960,0,165,13130
1,296,4,5,5,4,acept,furnished,4300,12900,2105,164,19470
1,300,4,4,3,-,acept,not furnished,0,12900,584,194,13680
1,270,4,4,4,5,acept,not furnished,4500,12850,1834,163,19350
1,107,2,2,2,18,acept,furnished,1800,12800,417,163,15180
1,884,5,7,6,8,acept,not furnished,9000,12750,5917,162,27830
1,360,4,5,4,2,acept,furnished,5420,12750,2779,162,21110
1,254,3,3,3,11,acept,furnished,4255,12750,1692,162,18860
1,440,3,4,2,20,acept,not furnished,4578,12750,1356,162,18850
1,373,4,4,3,12,acept,not furnished,4500,12750,1417,162,18830
1,386,4,6,3,21,acept,not furnished,3890,12750,1980,162,18780
1,280,5,5,2,1,acept,furnished,4374,12750,929,162,18220
1,250,3,3,2,7,acept,not furnished,3500,12750,1084,162,17500
1,345,3,3,5,2,acept,not furnished,3000,12750,834,162,16750
1,250,4,5,2,17,acept,furnished,2000,12750,873,162,15790
1,720,4,6,5,-,acept,furnished,0,12750,2613,192,15560
1,500,4,5,4,-,not acept,furnished,0,12750,2087,192,15030
1,600,5,5,6,-,acept,not furnished,0,12750,1059,192,14000
1,250,7,5,2,-,acept,not furnished,0,12750,1045,192,13990
1,160,3,3,2,1,acept,furnished,1990,12650,360,161,15160
1,340,3,4,4,2,not acept,not furnished,7000,12500,3084,159,22740
1,301,4,5,4,3,acept,furnished,4265,12500,1600,159,18520
1,200,2,4,3,16,acept,not furnished,4021,12500,1335,159,18020
1,252,4,5,5,18,acept,furnished,3100,12500,1750,159,17510
1,260,4,5,5,6,acept,not furnished,3000,12500,1667,159,17330
1,263,4,5,4,21,acept,not furnished,2900,12500,1588,159,17150
1,230,4,5,4,7,acept,not furnished,3240,12500,917,159,16820
1,164,3,4,2,13,acept,not furnished,2900,12500,915,159,16470
1,360,3,5,3,14,not acept,not furnished,3000,12500,125,159,15780
1,311,3,6,4,23,not acept,furnished,1800,12500,1084,159,15540
1,140,2,2,1,3,not acept,not furnished,2000,12500,279,159,14940
1,700,4,6,6,-,acept,not furnished,0,12500,2176,188,14860
1,500,5,6,5,-,acept,not furnished,0,12500,1898,188,14590
1,127,1,1,2,28,not acept,furnished,1460,12500,426,159,14550
1,350,3,2,4,-,acept,not furnished,0,12500,1334,188,14020
1,280,4,3,6,-,acept,furnished,0,12500,706,188,13390
1,400,3,5,5,-,acept,not furnished,0,12500,0,188,12690
1,180,2,3,2,13,acept,not furnished,ncluso,12500,0,159,12660
1,630,4,6,4,-,not acept,not furnished,0,12300,2667,185,15150
1,230,4,3,2,1,acept,not furnished,2300,12200,542,155,15200
1,90,2,2,2,17,acept,furnished,1500,12200,454,155,14310
1,340,5,4,2,7,acept,not furnished,220000,12000,1000,153,233200
1,420,3,3,4,7,acept,not furnished,8043,12000,2936,153,23130
1,600,4,5,6,-,acept,not furnished,0,12000,9500,181,21680
1,420,4,6,4,10,acept,not furnished,5700,12000,3167,153,21020
1,340,4,5,5,16,acept,furnished,5200,12000,3400,153,20750
1,420,5,4,4,7,acept,not furnished,8000,12000,200,153,20350
1,420,4,4,4,7,acept,not furnished,6000,12000,2000,153,20150
1,399,3,5,4,21,acept,not furnished,7000,12000,0,153,19150
1,257,4,4,4,14,not acept,not furnished,5000,12000,1584,153,18740
1,310,4,5,5,6,acept,furnished,3800,12000,2709,153,18660
1,202,4,3,4,5,acept,not furnished,4308,12000,1896,153,18360
1,850,4,4,8,-,acept,not furnished,0,12000,5834,181,18020
1,250,4,5,4,1,acept,not furnished,4200,12000,1667,153,18020
1,246,4,4,4,4,not acept,not furnished,4000,12000,1667,153,17820
1,240,3,3,4,22,acept,not furnished,3538,12000,1975,153,17670
1,260,3,2,2,9,acept,not furnished,4560,12000,732,153,17450
1,300,4,6,4,20,acept,not furnished,3700,12000,1584,153,17440
1,280,4,4,4,1,acept,furnished,3600,12000,1667,172,17440
1,280,2,4,1,11,acept,not furnished,4500,12000,700,153,17350
1,260,3,4,4,4,acept,furnished,5000,12000,0,153,17150
1,347,4,5,4,5,acept,furnished,3500,12000,1500,153,17150
1,365,3,4,3,15,acept,not furnished,3700,12000,1250,153,17100
1,208,4,4,3,5,acept,not furnished,3600,12000,1084,153,16840
1,215,3,4,4,10,acept,not furnished,3313,12000,1252,153,16720
1,280,4,5,4,18,not acept,not furnished,3600,12000,917,153,16670
1,210,3,4,4,13,acept,not furnished,3125,12000,1385,153,16660
1,80,3,5,2,4,not acept,not furnished,3460,12000,1000,153,16610
1,345,2,3,2,4,not acept,not furnished,3655,12000,783,153,16590
1,194,3,4,4,5,acept,not furnished,2600,12000,1667,153,16420
1,244,3,4,2,7,acept,furnished,3500,12000,648,153,16300
1,224,3,4,3,12,acept,furnished,3700,12000,417,153,16270
1,300,4,3,3,20,acept,not furnished,2800,12000,1223,153,16180
1,230,3,4,3,2,acept,not furnished,3700,12000,157,153,16010
1,210,3,3,4,8,acept,not furnished,3000,12000,834,153,15990
1,226,4,5,6,14,acept,not furnished,2860,12000,917,153,15930
1,240,4,3,3,6,acept,not furnished,2850,12000,700,153,15700
1,350,3,6,4,28,acept,furnished,2100,12000,1417,153,15670
1,230,2,3,1,1,acept,furnished,3000,12000,450,153,15600
1,300,3,4,1,15,not acept,not furnished,2902,12000,521,153,15580
1,227,3,4,4,18,not acept,furnished,2100,12000,1292,153,15550
1,600,6,5,5,-,acept,furnished,0,12000,3334,181,15520
1,200,3,3,2,8,acept,not furnished,2500,12000,834,153,15490
1,202,3,4,3,8,acept,furnished,2500,12000,834,153,15490
1,207,3,5,4,6,acept,not furnished,2400,12000,934,153,15490
1,720,4,5,4,-,acept,not furnished,0,12000,3200,181,15380
1,189,4,4,4,12,acept,not furnished,2326,12000,817,153,15300
1,182,3,2,3,12,acept,not furnished,2307,12000,786,153,15250
1,155,3,3,2,2,acept,furnished,2300,12000,700,153,15150
1,147,3,3,3,5,acept,furnished,2000,12000,1000,153,15150
1,128,3,3,0,3,acept,furnished,2500,12000,500,153,15150
0,231,3,5,4,4,acept,furnished,2200,12000,642,153,15000
1,318,4,6,4,-,not acept,not furnished,2500,12000,334,153,14990
1,206,4,4,3,10,acept,not furnished,1890,12000,917,153,14960
1,160,2,3,2,21,not acept,furnished,2200,12000,605,153,14960
1,220,4,5,3,14,acept,furnished,2050,12000,750,153,14950
1,192,2,3,1,1,acept,furnished,2300,12000,446,153,14900
1,62,1,2,1,4,acept,furnished,2400,12000,350,153,14900
1,158,3,4,3,5,not acept,furnished,1950,12000,738,153,14840
1,600,4,6,6,-,acept,not furnished,0,12000,2592,181,14770
1,440,4,4,4,-,acept,not furnished,0,12000,2500,181,14680
1,245,3,3,1,18,acept,furnished,1904,12000,486,153,14540
1,140,3,4,2,11,acept,furnished,1750,12000,615,153,14520
1,180,3,4,4,22,acept,not furnished,1545,12000,818,153,14520
1,800,4,5,8,-,acept,not furnished,0,12000,2334,181,14520
1,252,4,6,3,19,acept,not furnished,1700,12000,650,153,14500
1,180,3,2,1,8,acept,furnished,2000,12000,334,153,14490
1,179,3,3,0,9,not acept,furnished,1828,12000,472,153,14450
1,320,3,4,3,-,acept,not furnished,0,12000,2250,181,14430
1,115,2,3,2,8,acept,not furnished,1380,12000,790,153,14320
1,147,2,3,2,3,not acept,furnished,1500,12000,500,153,14150
1,136,3,3,1,5,not acept,furnished,1680,12000,234,153,14070
1,145,3,3,3,6,acept,not furnished,1100,12000,667,153,13920
1,800,4,7,8,-,acept,not furnished,0,12000,1667,181,13850
1,400,3,4,4,-,acept,not furnished,0,12000,1667,181,13850
1,130,2,2,2,5,acept,furnished,1500,12000,45,153,13700
1,450,4,5,6,-,acept,not furnished,0,12000,1334,181,13520
1,417,5,4,2,-,acept,not furnished,0,12000,1278,181,13460
1,350,3,5,3,-,acept,not furnished,0,12000,1250,181,13430
1,252,3,4,1,-,acept,not furnished,0,12000,1233,181,13410
1,450,5,4,3,-,acept,not furnished,0,12000,1201,181,13380
1,700,5,8,3,-,acept,not furnished,0,12000,1000,181,13180
1,380,3,4,2,-,acept,not furnished,0,12000,959,181,13140
1,300,4,5,8,-,acept,furnished,0,12000,917,181,13100
1,288,3,3,3,-,acept,not furnished,0,12000,878,181,13060
1,438,5,6,5,-,not acept,not furnished,0,12000,817,181,13000
0,570,4,6,5,-,acept,not furnished,0,12000,817,181,13000
1,410,5,7,3,-,acept,furnished,0,12000,750,181,12930
1,309,4,5,3,-,acept,not furnished,0,12000,734,181,12920
1,400,4,7,4,-,acept,furnished,0,12000,667,181,12850
1,800,5,4,6,-,acept,furnished,0,12000,459,181,12640
1,450,4,5,7,-,acept,furnished,0,12000,334,181,12520
1,160,3,5,2,-,acept,not furnished,0,12000,334,181,12520
0,75,3,1,1,1,not acept,not furnished,296,12000,0,181,12480
1,500,4,3,5,-,not acept,furnished,0,12000,84,181,12270
1,400,3,3,2,-,not acept,not furnished,0,12000,0,181,12180
1,185,3,3,2,9,acept,not furnished,em info,12000,0,153,12150
1,210,3,5,4,6,acept,furnished,3301,11900,960,151,16310
1,153,2,2,1,15,acept,furnished,1500,11900,350,151,13900
1,300,3,5,3,-,acept,not furnished,0,11900,250,179,12330
1,255,4,4,3,13,acept,furnished,ncluso,11900,0,151,12050
1,297,4,5,5,19,acept,not furnished,3182,11700,2482,149,17510
1,155,3,2,3,4,acept,furnished,2600,11700,667,149,15120
1,500,5,7,7,-,acept,not furnished,0,11500,5500,173,17170
1,210,4,4,4,4,not acept,not furnished,2857,11500,1480,146,15980
1,245,3,5,4,13,acept,furnished,2450,11500,1584,146,15680
1,198,3,4,2,12,acept,furnished,2600,11500,667,146,14910
1,280,4,6,5,28,acept,not furnished,1800,11500,1417,146,14860
1,110,2,3,2,12,not acept,furnished,2000,11500,502,146,14150
1,185,3,2,2,11,acept,not furnished,2000,11500,417,146,14060
1,157,3,5,3,12,acept,not furnished,1670,11500,583,146,13900
1,109,1,1,2,5,not acept,furnished,1750,11500,479,146,13880
1,120,2,3,2,5,acept,furnished,1800,11500,250,146,13700
1,300,3,2,5,-,acept,not furnished,0,11500,2000,173,13670
1,450,4,4,3,-,acept,not furnished,em info,11500,875,173,12550
1,292,4,3,3,8,acept,furnished,2700,11480,709,146,15030
1,340,4,6,4,-,acept,furnished,0,11470,1009,173,12650
1,384,3,3,4,-,not acept,not furnished,0,11400,1142,172,12710
1,287,4,4,4,6,not acept,not furnished,7900,11300,2590,144,21930
1,420,4,4,4,19,acept,not furnished,4900,11050,3700,141,19790
